timestamp,sumOpenInterest,sumOpenInterestValue
2025-06-27 07:00:00,77615.62400000,8323407489.81418800
2025-06-27 08:00:00,77760.30700000,8306590646.73617400
2025-06-27 09:00:00,77312.85500000,8268679423.81950000
2025-06-27 10:00:00,76655.21500000,8205381182.68050000
2025-06-27 11:00:00,76133.42100000,8142728229.58140000
2025-06-27 12:00:00,76029.71400000,8130891322.13040000
2025-06-27 13:00:00,75915.13600000,8095330644.63432100
2025-06-27 14:00:00,75684.15600000,8081213598.97800000
2025-06-27 15:00:00,75753.91600000,8068542017.76840000
2025-06-27 16:00:00,75933.20000000,8144686151.84000000
2025-06-27 17:00:00,76852.46500000,8255453700.99331800
2025-06-27 18:00:00,76225.50000000,8144152006.05649000
2025-06-27 19:00:00,76037.08300000,8110138083.90490000
2025-06-27 20:00:00,75669.84300000,8077309288.17630000
2025-06-27 21:00:00,75327.31800000,8065039825.37880000
2025-06-27 22:00:00,75341.30900000,8061407051.03650000
2025-06-27 23:00:00,75415.50600000,8073143941.98362700
2025-06-28 00:00:00,75329.47500000,8060020303.62750000
2025-06-28 01:00:00,74909.18200000,8016097620.51945100
2025-06-28 02:00:00,74760.58900000,8001035232.01690000
2025-06-28 03:00:00,74807.37900000,8009012649.02220000
2025-06-28 04:00:00,75166.33700000,8061614518.67805200
2025-06-28 05:00:00,75128.64200000,8049540343.96095800
2025-06-28 06:00:00,75135.31300000,8057676263.80860000
2025-06-28 07:00:00,75440.24500000,8099670734.92628000
2025-06-28 08:00:00,75534.80100000,8114933841.56809400
2025-06-28 09:00:00,75748.23800000,8130043234.89240000
2025-06-28 10:00:00,75765.75200000,8126016802.51399600
2025-06-28 11:00:00,75809.33300000,8127824725.12613800
2025-06-28 12:00:00,75779.14600000,8132640682.46380000
2025-06-28 13:00:00,75817.29400000,8133765983.26031300
2025-06-28 14:00:00,75833.03100000,8119182887.86435200
2025-06-28 15:00:00,75859.18200000,8128511842.69316000
2025-06-28 16:00:00,75815.81100000,8143194301.56360000
2025-06-28 17:00:00,75862.59200000,8136306785.33048400
2025-06-28 18:00:00,75869.61200000,8150262721.25520000
2025-06-28 19:00:00,75835.62400000,8135544985.20227500
2025-06-28 20:00:00,75812.00100000,8124520161.66191200
2025-06-28 21:00:00,75649.06500000,8102829161.58970300
2025-06-28 22:00:00,75479.13500000,8096915806.50703200
2025-06-28 23:00:00,75509.35600000,8102841033.93960000
2025-06-29 00:00:00,75523.86400000,8099251412.99186800
2025-06-29 01:00:00,76041.36600000,8169393498.38999800
2025-06-29 02:00:00,76034.53800000,8156186873.99100000
2025-06-29 03:00:00,75919.86500000,8142643986.83280700
2025-06-29 04:00:00,75960.89600000,8139902574.48897000
2025-06-29 05:00:00,75958.09400000,8144246680.80576000
2025-06-29 06:00:00,75941.57000000,8145564013.35653700
2025-06-29 07:00:00,75900.84500000,8146647400.45935500
2025-06-29 08:00:00,75794.07700000,8136918612.78120000
2025-06-29 09:00:00,76450.37200000,8230501793.81320000
2025-06-29 10:00:00,77423.91600000,8350331930.82360000
2025-06-29 11:00:00,78796.29300000,8519565513.97020000
2025-06-29 12:00:00,79130.66900000,8581266443.40639200
2025-06-29 13:00:00,79220.93800000,8567879120.29460000
2025-06-29 14:00:00,79305.31800000,8566009946.11023100
